Middle layer Super Output Areas Code,Middle layer Super Output Areas,Welsh speaking ability (3 categories) Code,Welsh speaking ability (3 categories),Observation,Total,Totalp
W02000001,Isle of Anglesey 001,1,Can speak Welsh,4717,8405,56.12135634
W02000002,Isle of Anglesey 002,1,Can speak Welsh,3323,6364,52.21558768
W02000003,Isle of Anglesey 003,1,Can speak Welsh,4273,10631,40.19377293
W02000004,Isle of Anglesey 004,1,Can speak Welsh,3588,7399,48.4930396
W02000005,Isle of Anglesey 005,1,Can speak Welsh,3847,8161,47.13883103
W02000006,Isle of Anglesey 006,1,Can speak Welsh,5096,7040,72.38636364
W02000007,Isle of Anglesey 007,1,Can speak Welsh,3771,6893,54.70767445
W02000008,Isle of Anglesey 008,1,Can speak Welsh,3618,5951,60.79650479
W02000009,Isle of Anglesey 009,1,Can speak Welsh,5180,8032,64.49203187
W02000010,Gwynedd 001,1,Can speak Welsh,2396,8615,27.81195589
W02000011,Gwynedd 002,1,Can speak Welsh,4215,8377,50.31634237
W02000012,Gwynedd 003,1,Can speak Welsh,5608,8209,68.31526373
W02000013,Gwynedd 004,1,Can speak Welsh,4772,6425,74.27237354
W02000014,Gwynedd 005,1,Can speak Welsh,4460,6741,66.16229046
W02000015,Gwynedd 006,1,Can speak Welsh,6735,8515,79.09571345
W02000016,Gwynedd 007,1,Can speak Welsh,4827,6359,75.90816166
W02000017,Gwynedd 008,1,Can speak Welsh,5513,7576,72.76927138
W02000018,Gwynedd 009,1,Can speak Welsh,4377,6081,71.97829304
W02000019,Gwynedd 010,1,Can speak Welsh,4353,6660,65.36036036
W02000020,Gwynedd 011,1,Can speak Welsh,4436,6483,68.42511183
W02000021,Gwynedd 012,1,Can speak Welsh,5601,7753,72.24300271
W02000022,Gwynedd 013,1,Can speak Welsh,3049,5551,54.92704017
W02000023,Gwynedd 014,1,Can speak Welsh,3470,5284,65.66994701
W02000024,Gwynedd 015,1,Can speak Welsh,3767,5679,66.33210072
W02000025,Gwynedd 016,1,Can speak Welsh,3236,6129,52.79817262
W02000026,Gwynedd 017,1,Can speak Welsh,2746,6956,39.47671075
W02000027,Conwy 001,1,Can speak Welsh,1341,8420,15.9263658
W02000028,Conwy 002,1,Can speak Welsh,1225,6709,18.259055
W02000029,Conwy 003,1,Can speak Welsh,1210,6000,20.16666667
W02000030,Conwy 004,1,Can speak Welsh,976,5882,16.59299558
W02000031,Conwy 005,1,Can speak Welsh,894,8172,10.93979442
W02000032,Conwy 006,1,Can speak Welsh,1988,8387,23.70335042
W02000033,Conwy 007,1,Can speak Welsh,1248,6957,17.93876671
W02000034,Conwy 008,1,Can speak Welsh,1606,7667,20.94691535
W02000035,Conwy 009,1,Can speak Welsh,1671,8897,18.78161178
W02000036,Conwy 010,1,Can speak Welsh,2098,11286,18.5894028
W02000037,Conwy 011,1,Can speak Welsh,1909,7197,26.52494095
W02000038,Conwy 012,1,Can speak Welsh,1891,6209,30.45578998
W02000039,Conwy 013,1,Can speak Welsh,2848,7841,36.32189772
W02000040,Conwy 014,1,Can speak Welsh,3584,6597,54.32772472
W02000041,Conwy 015,1,Can speak Welsh,4512,8522,52.945318
W02000042,Denbighshire 001,1,Can speak Welsh,704,5860,12.01365188
W02000043,Denbighshire 002,1,Can speak Welsh,747,5246,14.23942051
W02000044,Denbighshire 003,1,Can speak Welsh,839,5299,15.83317607
W02000045,Denbighshire 004,1,Can speak Welsh,1016,9566,10.6209492
W02000047,Denbighshire 006,1,Can speak Welsh,631,5566,11.33668703
W02000049,Denbighshire 008,1,Can speak Welsh,1232,6658,18.50405527
W02000050,Denbighshire 009,1,Can speak Welsh,1079,6381,16.9095753
W02000051,Denbighshire 010,1,Can speak Welsh,1211,5301,22.84474627
W02000052,Denbighshire 011,1,Can speak Welsh,1349,5004,26.95843325
W02000053,Denbighshire 012,1,Can speak Welsh,2542,6319,40.22788416
W02000054,Denbighshire 013,1,Can speak Welsh,1748,6131,28.51084652
W02000055,Denbighshire 014,1,Can speak Welsh,2090,5699,36.67310054
